aX,aY,aZ,gX,gY,gZ
0.976,0.394,1.303,141.846,94.971,19.836
1.004,0.410,1.147,142.334,90.515,13.306
1.042,0.430,0.996,141.235,87.158,4.333
1.033,0.434,0.838,138.733,83.984,-6.531
1.039,0.423,0.726,136.047,84.534,-19.287
1.006,0.419,0.634,134.766,81.787,-32.288
0.916,0.443,0.484,134.094,75.928,-43.396
0.849,0.457,0.359,132.080,77.454,-52.917
0.835,0.505,0.255,128.235,81.116,-62.256
0.704,0.591,0.057,123.169,82.458,-67.566
0.642,0.588,-0.082,118.713,88.440,-67.383
0.606,0.639,-0.203,115.356,92.529,-69.946
0.508,0.629,-0.304,111.511,90.454,-67.322
0.448,0.650,-0.413,103.333,84.656,-65.613
0.379,0.689,-0.539,92.896,70.923,-70.740
0.315,0.731,-0.642,80.383,55.054,-74.219
0.218,0.735,-0.760,64.697,41.077,-75.317
0.127,0.761,-0.889,48.523,28.503,-74.463
0.032,0.779,-0.996,33.508,19.714,-71.289
-0.028,0.779,-1.102,19.897,14.954,-67.505
-0.082,0.801,-1.198,8.606,11.902,-63.538
-0.114,0.828,-1.257,-1.343,11.475,-60.303
-0.137,0.862,-1.280,-11.047,13.367,-57.434
-0.159,0.897,-1.264,-22.339,16.174,-54.077
-0.191,0.934,-1.224,-35.522,18.616,-50.049
-0.213,0.963,-1.161,-50.232,18.616,-45.593
-0.212,0.966,-1.062,-66.833,15.991,-40.283
-0.212,0.965,-0.961,-84.106,8.606,-34.607
-0.196,0.954,-0.858,-100.464,-0.366,-28.625
-0.137,0.929,-0.724,-115.051,-6.592,-22.400
-0.081,0.848,-0.567,-127.319,-14.343,-17.029
0.008,0.839,-0.441,-140.076,-25.391,-17.639
0.075,0.824,-0.365,-156.311,-38.574,-19.043
0.146,0.799,-0.235,-174.744,-47.852,-19.836
0.210,0.760,-0.050,-195.068,-56.641,-23.437
0.279,0.717,0.164,-216.797,-63.660,-26.794
0.328,0.652,0.420,-237.976,-70.984,-28.870
0.367,0.558,0.712,-255.310,-79.041,-31.128
0.381,0.464,1.008,-267.395,-88.257,-35.461
0.359,0.385,1.291,-273.499,-98.938,-42.664
0.280,0.348,1.560,-272.461,-112.305,-52.307
0.161,0.336,1.785,-267.090,-129.639,-65.796
0.047,0.339,1.932,-260.559,-145.325,-81.421
-0.019,0.364,2.128,-251.709,-148.499,-93.201
-0.083,0.342,2.423,-240.784,-134.460,-97.412
-0.178,0.315,2.709,-228.271,-109.619,-94.299
-0.286,0.280,2.937,-208.618,-84.900,-88.440
-0.356,0.223,3.094,-179.749,-66.406,-82.947
-0.391,0.162,3.179,-147.400,-59.692,-78.735
-0.384,0.073,3.149,-118.652,-66.101,-75.623
-0.352,-0.004,3.057,-97.290,-79.956,-73.364
-0.300,-0.102,2.958,-82.092,-90.576,-69.275
-0.227,-0.216,2.842,-70.496,-90.210,-61.279
-0.143,-0.319,2.729,-58.533,-79.224,-51.331
0.335,-0.173,2.588,-43.579,-65.308,-42.053
-0.170,-0.446,2.437,-22.400,-55.237,-25.146
-0.042,-0.540,2.616,-0.061,-46.692,-26.428
-0.026,-0.381,2.402,16.602,-66.284,-37.476
0.039,-0.400,2.213,20.874,-50.110,-40.649
-0.030,-0.349,2.068,28.931,-37.964,-34.607
0.041,-0.319,2.028,37.415,-13.916,-24.048
0.075,-0.351,2.050,47.791,0.427,-14.709
0.032,-0.340,2.001,57.251,-5.005,-12.329
0.081,-0.293,1.904,62.012,-7.690,-15.747
0.120,-0.223,1.765,66.162,-8.179,-15.625
0.117,-0.206,1.675,71.960,-5.615,-9.583
0.125,-0.200,1.630,78.308,-0.854,-5.066
0.144,-0.169,1.594,83.191,3.845,-4.272
0.143,-0.147,1.551,87.341,5.798,-3.540
0.135,-0.131,1.492,91.003,5.798,-2.502
0.125,-0.119,1.430,95.093,5.066,-1.038
0.124,-0.115,1.372,100.159,3.723,0.732
0.126,-0.110,1.317,104.980,2.502,1.587
0.134,-0.107,1.250,108.276,1.343,1.953
0.135,-0.105,1.181,110.779,0.488,2.258
0.141,-0.100,1.107,113.464,0.122,2.258
0.142,-0.102,1.041,114.868,0.305,2.075
0.134,-0.114,0.989,114.075,2.014,1.709
0.123,-0.125,0.949,112.488,3.967,1.526
0.110,-0.133,0.914,111.511,5.249,1.892
0.107,-0.149,0.881,109.985,6.592,2.808
0.101,-0.160,0.848,107.788,7.507,4.211
0.102,-0.176,0.816,106.079,7.874,6.042
0.114,-0.197,0.790,104.736,8.484,7.935
0.125,-0.223,0.776,103.333,8.789,8.972
0.135,-0.241,0.750,101.685,8.118,7.996
0.821,-0.125,2.160,-143.738,-69.946,146.301
0.918,-0.155,2.320,-132.812,-60.791,133.179
1.009,-0.177,2.483,-122.192,-47.302,122.314
1.049,-0.179,2.584,-109.680,-33.081,110.168
1.094,-0.157,2.740,-96.680,-18.860,96.558
1.124,-0.148,2.848,-80.933,-14.343,85.144
1.133,-0.138,2.968,-66.162,-11.414,76.660
1.165,-0.100,3.013,-53.345,-8.057,70.007
1.203,-0.103,3.031,-40.100,-4.822,63.232
1.223,-0.122,3.047,-26.733,-0.061,56.091
1.141,-0.151,3.016,-15.625,6.470,48.340
1.218,0.043,2.904,-2.441,15.503,45.105
1.154,-0.132,2.783,14.587,36.743,57.983
0.922,-0.236,2.833,35.950,38.879,46.631
0.816,-0.140,2.777,59.082,29.907,27.649
0.708,-0.068,2.670,75.256,40.161,17.456
0.489,0.035,2.420,85.693,49.438,22.034
0.444,0.016,2.268,91.919,81.970,35.095
0.491,-0.025,2.210,101.196,110.168,41.138
0.474,-0.017,2.119,110.901,117.554,40.344
0.431,0.011,1.982,118.408,116.699,40.161
0.401,0.038,1.837,125.000,113.525,39.856
0.393,0.074,1.696,132.385,108.887,37.231
0.419,0.125,1.564,139.893,104.675,34.363
0.440,0.162,1.447,146.667,100.281,33.752
0.462,0.186,1.318,151.245,94.421,33.386
0.518,0.207,1.168,153.198,88.501,30.212
0.573,0.216,1.014,152.832,82.764,23.865
0.614,0.239,0.880,151.062,76.843,15.137
0.640,0.258,0.751,148.743,71.106,5.920
0.639,0.283,0.635,145.447,63.904,-2.563
0.607,0.313,0.505,142.273,55.542,-9.644
0.544,0.364,0.368,139.648,52.795,-15.564
0.543,0.396,0.278,136.841,55.298,-20.325
0.477,0.444,0.127,131.348,58.777,-22.400
0.503,0.457,0.015,122.803,70.801,-23.743
0.464,0.530,-0.179,114.014,81.360,-27.100
0.539,0.573,-0.265,106.812,98.572,-27.405
0.518,0.535,-0.280,100.769,100.708,-25.818
0.462,0.575,-0.315,93.689,85.022,-33.875
0.419,0.585,-0.375,86.121,62.744,-46.021
0.372,0.631,-0.479,78.735,38.818,-58.411
0.339,0.686,-0.605,72.449,19.592,-66.772
0.328,0.747,-0.720,67.078,6.958,-69.397
0.306,0.830,-0.834,62.683,-1.892,-68.604
0.256,0.931,-0.995,57.617,-7.690,-66.895
0.222,1.050,-1.148,48.767,-5.676,-65.186
0.208,1.141,-1.266,37.415,3.052,-63.293
0.199,1.198,-1.309,23.682,14.893,-60.974
0.168,1.223,-1.255,6.470,24.048,-59.326
0.110,1.216,-1.147,-11.414,27.100,-57.617
0.068,1.182,-1.002,-31.311,26.306,-55.359
0.058,1.123,-0.848,-51.636,20.813,-52.734
0.097,1.065,-0.715,-70.618,10.071,-49.011
